iso,Country,Population,Under-nourishment (%),HDI,Peace_index,Vegetables disponibility (kg/cap/year),Enough veg intake (> 91.25 kg/cap/year),Production,Exportations,Importations,Customs duration (h),Customs tax (%),Distance (km),Gdp/cap,"Population evolution (4y, %)",Trade balance (exp-imp),Self-sufficiency (prod-dispo),"Market growth (2y, %)"
HRV,Croatia,4065253,2.5,0.861,1.637,336.92,1,3626000000,963000000,348000000,0.1285714,2.55,1073.417,30635.6640418265,-3.2912472250002613,615000000,555.0294063469112,17.17171717171717
CIV,Cote d'Ivoire,26147551,4.7,0.55,2.481,395.08,1,15305000000,80000000,408000000,238.7143,12.13,4587.869,5343.00160596865,10.810009738209187,-328000000,190.25206417687076,17.24137931034483
DNK,Denmark,5814422,2.5,0.946,1.284,164.38,1,2796000000,499000000,1147000000,0.0,2.55,1195.8,58700.9746656312,2.3038513531227243,-648000000,316.4932493100776,42.66169154228855
DJI,Djibouti,1073994,13.1,0.512,2.179,111.97,1,50000000,26000000,138000000,72.0,18.92,5426.95,4969.34925955894,6.7313683654009555,-112000000,-65.414805092021,40.816326530612244
SLV,El Salvador,6280217,8.3,0.683,2.235,198.41,1,1104000000,101000000,1375000000,24.0,3.37,9073.199,9402.17160956239,0.7888056393560908,-1274000000,-22.619895931939936,30.82778306374881
ESP,Spain,47134837,2.5,0.908,1.734,188.22,1,21967000000,10430000000,13591000000,0.0,2.55,958.838,41695.1469476327,1.4856443016092726,-3161000000,277.82595238125043,26.14627807685168
EST,Estonia,1326898,2.5,0.896,1.692,156.41,1,216000000,86000000,151000000,2.0,2.55,2049.779,37850.0741478592,0.873569929307051,-65000000,6.3756851091794715,7.857142857142857
SWZ,Eswatini,1169613,11.1,0.615,2.028,124.59,1,121000000,1000000,196000000,2.111111,8.46,8628.108,8860.05879633449,3.1462974982715073,-195000000,-21.136977504525007,24.050632911392405
FIN,Finland,5521606,2.5,0.939,1.448,147.91,1,945000000,30000000,332000000,36.0,2.55,2151.814,50321.5396907229,0.7678576870903733,-302000000,23.2358586505448,7.443365695792881
FRA,France,67388001,2.5,0.905,1.916,160.95,1,27586000000,8964000000,6886000000,0.0,2.55,408.9603,48971.0885451909,1.2618344169777993,2078000000,248.41071096692718,-0.6922411306605134
RUS,Russian Federation,144406261,2.5,0.845,3.089,196.6,1,55639000000,5057000000,2836000000,66.0,6.86,3350.928,30067.740234375,0.21471042361988846,2221000000,188.69492845189032,-8.6340206185567
GAB,Gabon,2242785,16.6,0.709,2.102,181.82,1,629000000,0,39000000,96.0,18.65,5254.834,15089.0398500515,10.562790452335376,-39000000,98.63488087355677,8.333333333333332
